subject,diet,age,timepoint,sex,cohort,exclude,months_old,run_01,run_02,run_03,mean,SEM
1,EtOH,Aged,T7,Male,OLD2A,N,,467,466.6,420.3,451.3,15.5004301
2,EtOH,Aged,T7,Male,OLD2A,N,,496,479.1,474.4,483.1666667,6.55853981
3,EtOH,Aged,T0,Male,OLD2A,N,,452.9,443.7,436.3,444.3,4.801388688
4,EtOH,Aged,T0,Male,OLD2A,N,,367.3,363.5,361.6,364.1333333,1.675642497
5,EtOH,Aged,T2,Male,OLD2A,N,,384.1,381.8,375.8,380.5666667,2.474087935
6,EtOH,Aged,T2,Male,OLD2A,N,,384.4,353.1,353.2,363.5666667,10.41670667
7,EtOH,Aged,T7,Male,OLD2A,N,,398.4,379,390,389.1333333,5.617037574
8,EtOH,Aged,T7,Male,OLD2A,N,,398.6,393.7,386,392.7666667,3.667121184
9,EtOH,Aged,T0,Male,OLD2A,N,,353.1,350.8,348.4,350.7666667,1.356875496
10,EtOH,Aged,T0,Male,OLD2A,died,,,,,,
11,EtOH,Aged,T2,Male,OLD2A,N,,378.9,365.6,356.3,366.9333333,6.558031547
12,EtOH,Aged,T2,Male,OLD2A,died,,511,539.2,559.6,536.6,14.08971256
13,EtOH,Aged,T0,Male,OLD2A,N,,416.9,435.4,423.7,425.3333333,5.402571404
14,EtOH,Aged,T0,Male,OLD2A,N,,503.2,497.9,489.2,496.7666667,4.08098572
21,EtOH,Adult,T2,Male,OLD2A,N,,402.9,391.1,360.6,384.8666667,12.60242481
22,EtOH,Adult,T2,Male,OLD2A,N,,393.3,425.7,412.6,410.5333333,9.409982879
23,EtOH,Adult,T0,Male,OLD2A,N,,492.8,485.8,473,483.8666667,5.796934056
24,EtOH,Adult,T0,Male,OLD2A,N,,480.8,463.1,454.5,466.1333333,7.742164498
25,EtOH,Adult,T7,Male,OLD2A,N,,420.3,414,398.7,411,6.413267498
26,EtOH,Adult,T7,Male,OLD2A,N,,405,400.3,381.7,395.6666667,7.113914378
27,EtOH,Adult,T0,Male,OLD2A,N,,424.1,421.8,413.8,419.9,3.121431296
28,EtOH,Adult,T0,Male,OLD2A,N,,479.5,458,453.5,463.6666667,8.022537698
29,EtOH,Adult,T2,Male,OLD2A,bec,,520,512.4,497.4,509.9333333,6.639611769
30,EtOH,Adult,T2,Male,OLD2A,N,,493.7,496.2,489.3,493.0666667,2.016873268
31,EtOH,Adult,T7,Male,OLD2A,N,,417.2,415.9,406.8,413.3,3.271594922
32,EtOH,Adult,T7,Male,OLD2A,bec,,543.9,547.8,514.6,535.4333333,10.47733002
37,EtOH,Aged,T2,Male,OLD2B,N,,383.9,382.9,366,377.6,5.807179465
38,EtOH,Aged,T2,Male,OLD2B,N,,441.5,462.6,482.1,462.0666667,11.72324377
39,EtOH,Aged,T7,Male,OLD2B,N,,409.5,444.7,428.6,427.6,10.1736588
40,EtOH,Aged,T7,Male,OLD2B,N,,374,382.1,374.2,376.7666667,2.667291593
41,EtOH,Aged,T2,Male,OLD2B,N,,424.8,421.9,403.4,416.7,6.702487101
42,EtOH,Aged,T2,Male,OLD2B,N,,387.2,374.4,386.2,382.6,4.110150038
43,EtOH,Aged,T0,Male,OLD2B,N,,384.2,403.6,388,391.9333333,5.935580099
44,EtOH,Aged,T2,Male,OLD2B,died,,,,,,
45,EtOH,Aged,T0,Male,OLD2B,N,,411.4,430.7,413.6,418.5666667,6.099817848
46,EtOH,Aged,T0,Male,OLD2B,N,,488.5,466,463.1,472.5333333,8.027106854
47,EtOH,Aged,T7,Male,OLD2B,N,,402.7,384.4,392.1,393.0666667,5.304819612
48,EtOH,Aged,T7,Male,OLD2B,N,,380.5,377.1,358.8,372.1333333,6.738529348
51,EtOH,Adult,T0,Male,OLD2B,N,,342.7,352.2,359.3,351.4,4.808672721
52,EtOH,Adult,T0,Male,OLD2B,N,,484.3,481.8,473.8,479.9666667,3.166666667
53,EtOH,Adult,T2,Male,OLD2B,N,,437.7,432.7,433.6,434.6666667,1.538758518
54,EtOH,Adult,T2,Male,OLD2B,N,,381.7,377.7,386.5,381.9666667,2.54383787
55,EtOH,Adult,T7,Male,OLD2B,N,,340.1,352.1,345.7,345.9666667,3.466666667
56,EtOH,Adult,T7,Male,OLD2B,N,,433.9,406.9,414.3,418.3666667,8.055088109
5,EtOH,Adult,T14,Male,OLD3A,died,7,,,,,
6,EtOH,Adult,T14,Male,OLD3A,bec,7,530.4,497,,513.7,16.7
13,EtOH,Adult,T14,Male,OLD3A,N,3,437.8,434.8,,436.3,1.5
14,EtOH,Adult,T14,Male,OLD3A,N,3,429.7,434.2,,431.95,2.25
19,EtOH,Adult,T14,Male,OLD3A,bec,3,562.8,521.9,,542.35,20.45
20,EtOH,Adult,T14,Male,OLD3A,N,3,489.5,484.5,,487,2.5
25,EtOH,Aged,T14,Male,OLD3A,died,24,428.7,421.2,,424.95,3.75
26,EtOH,Aged,T14,Male,OLD3A,N,24,364.8,376.2,,370.5,5.7
37,EtOH,Aged,T14,Male,OLD3A,died,25,395.7,383.8,,389.75,5.95
38,EtOH,Aged,T14,Male,OLD3A,died,25,358.2,356.9,,357.55,0.65
43,EtOH,Aged,T14,Male,OLD3A,N,25,374.5,402.8,,388.65,14.15
44,EtOH,Aged,T14,Male,OLD3A,died,25,515.4,518.9,,517.15,1.75
7,EtOH,Adult,T14,Male,OLD3B,N,7,299.1,299,,299.05,0.05
8,EtOH,Adult,T14,Male,OLD3B,N,7,457.8,451.4,,454.6,3.2
15,EtOH,Adult,T14,Male,OLD3B,N,3,324.4,313.2,,318.8,5.6
16,EtOH,Adult,T14,Male,OLD3B,N,3,339.7,332,,335.85,3.85
23,EtOH,Aged,T14,Male,OLD3B,died,24,,,,,
24,EtOH,Aged,T14,Male,OLD3B,N,24,214.8,220.9,,217.85,3.05
27,EtOH,Aged,T14,Male,OLD3B,N,24,357.5,346.9,,352.2,5.3
28,EtOH,Aged,T14,Male,OLD3B,N,24,252.5,255.1,,253.8,1.3
31,EtOH,Aged,T14,Male,OLD3B,died,25,,,,,
32,EtOH,Aged,T14,Male,OLD3B,N,25,379.1,359.6,,369.35,9.75
35,EtOH,Aged,T14,Male,OLD3B,N,25,450.7,442.4,,446.55,4.15
36,EtOH,Aged,T14,Male,OLD3B,N,25,272.2,266.6,,269.4,2.8
41,EtOH,Aged,T14,Male,OLD3B,N,25,337.6,328.1,,332.85,4.75
42,EtOH,Aged,T14,Male,OLD3B,N,25,421.2,417.4,,419.3,1.9
45,EtOH,Aged,T14,Male,OLD3B,died,25,438.5,431.9,,435.2,3.3
46,EtOH,Aged,T14,Male,OLD3B,died,25,294.2,305.1,,299.65,5.45
1,EtOH,Adult,T28,Male,OLD5,N,,,,,,
2,EtOH,Adult,T28,Male,OLD5,N,,,,,,
3,EtOH,Adult,T28,Male,OLD5,N,,,,,,
4,EtOH,Adult,T28,Male,OLD5,N,,,,,,
5,EtOH,Adult,T28,Male,OLD5,N,,,,,,
6,EtOH,Adult,T28,Male,OLD5,N,,,,,,
13,EtOH,Aged,T28,Male,OLD5,died,,,,,,
14,EtOH,Aged,T28,Male,OLD5,died,,,,,,
15,EtOH,Aged,T28,Male,OLD5,N,,,,,,
16,EtOH,Aged,T28,Male,OLD5,N,,,,,,
17,EtOH,Aged,T28,Male,OLD5,died,,,,,,
18,EtOH,Aged,T28,Male,OLD5,N,,,,,,
19,EtOH,Aged,T28,Male,OLD5,N,,,,,,
20,EtOH,Aged,T28,Male,OLD5,died,,,,,,
53,EtOH,Aged,T28,Male,OLD5,died,,,,,,
54,EtOH,Aged,T28,Male,OLD5,N,,,,,,
57,EtOH,Adult,T28,Male,OLD5,N,,,,,,
58,EtOH,Adult,T28,Male,OLD5,N,,,,,,
